ranker,pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp
1,1,HOU,Hakeem Olajuwon,University of Houston,18,1238,44222,26946,13748,3058,.512,.202,.712,35.7,21.8,11.1,2.5,162.8,.177,4.9,77.1
2,2,POR,Sam Bowie,University of Kentucky,10,511,14098,5564,3845,1075,.452,.302,.748,27.6,10.9,7.5,2.1,26.9,.091,0.0,7.2
3,3,CHI,Michael Jordan,University of North Carolina,15,1072,41011,32292,6672,5633,.497,.327,.835,38.3,30.1,6.2,5.3,214.0,.250,8.1,104.4
4,4,DAL,Sam Perkins,University of North Carolina,17,1286,36598,15324,7666,1975,.459,.362,.811,28.5,11.9,6.0,1.5,105.4,.138,1.4,31.4
5,5,PHI,Charles Barkley,Auburn University,16,1073,39330,23757,12546,4215,.541,.266,.735,36.7,22.1,11.7,3.9,177.2,.216,7.4,93.5
6,6,WSB,Melvin Turpin,University of Kentucky,5,361,6871,3071,1655,183,.516,.111,.777,19.0,8.5,4.6,0.5,13.7,.096,-1.4,1.0
7,7,SAS,Alvin Robertson,University of Arkansas,10,779,24669,10882,4066,3929,.477,.295,.743,31.7,14.0,5.2,5.0,52.1,.101,4.0,37.3
8,8,LAC,Lancaster Gordon,University of Louisville,4,201,2581,1125,259,294,.391,.271,.767,12.8,5.6,1.3,1.5,-2.7,-.050,-5.8,-2.5
9,9,KCK,Otis Thorpe,Providence College,17,1257,39822,17600,10370,2730,.546,.047,.687,31.7,14.0,8.2,2.2,106.4,.128,1.2,32.2
10,10,PHI,Leon Wood,"California State University, Fullerton",6,274,4531,1742,316,867,.392,.326,.792,16.5,6.4,1.2,3.2,6.7,.071,-3.3,-1.5
11,11,ATL,Kevin Willis,Michigan State University,21,1424,38362,17253,11901,1328,.487,.211,.713,26.9,12.1,8.4,0.9,81.8,.102,-1.8,2.0
12,12,CLE,Tim McCormick,University of Michigan,8,483,10390,4030,2366,491,.535,.063,.703,21.5,8.3,4.9,1.0,21.5,.099,-1.5,1.4
13,13,PHO,Jay Humphries,University of Colorado,11,788,23062,8772,2003,4339,.476,.297,.782,29.3,11.1,2.5,5.5,45.0,.094,-0.2,10.6
14,14,LAC,Michael Cage,San Diego State University,15,1140,29716,8278,8646,1057,.515,.000,.664,26.1,7.3,7.6,0.9,74.4,.120,0.9,21.9
15,15,DAL,Terence Stansbury,Temple University,3,192,2984,1200,277,390,.444,.224,.779,15.5,6.3,1.4,2.0,2.4,.038,-3.7,-1.3
16,16,UTA,John Stockton,Gonzaga University,19,1504,47764,19711,4051,15806,.515,.384,.826,31.8,13.1,2.7,10.5,207.7,.209,3.5,65.9
17,17,NJN,Jeff Turner,Vanderbilt University,10,612,11244,3697,2036,635,.467,.344,.769,18.4,6.0,3.3,1.0,8.9,.038,-3.4,-4.1
18,18,IND,Vern Fleming,University of Georgia,12,893,24721,10125,3012,4293,.498,.181,.764,27.7,11.3,3.4,4.8,52.0,.101,0.3,14.3
19,19,POR,Bernard Thompson,"California State University, Fresno",5,204,2935,1078,352,266,.439,.000,.789,14.4,5.3,1.7,1.3,3.4,.056,-2.6,-0.5
20,20,DET,Tony Campbell,Ohio State University,11,690,15180,7994,2117,1019,.456,.254,.790,22.0,11.6,3.1,1.5,20.7,.065,-1.7,1.2
21,21,MIL,Kenny Fields,"University of California, Los Angeles",4,184,2692,1140,464,188,.474,.188,.733,14.6,6.2,2.5,1.0,4.2,.074,-2.1,-0.1
22,22,PHI,Tom Sewell,Lamar University,1,21,87,20,4,6,.250,.000,.500,4.1,1.0,0.2,0.3,-0.4,-.201,-13.1,-0.2
23,23,LAL,Earl Jones,University of the District of Columbia,2,14,50,13,10,4,.385,,.750,3.6,0.9,0.7,0.3,-0.1,-.090,-8.1,-0.1
