ranker,pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp
1,1,NJN,Derrick Coleman,Syracuse University,15,781,25903,12884,7232,1985,.447,.295,.769,33.2,16.5,9.3,2.5,64.3,.119,1.3,21.7
2,2,SEA,Gary Payton,Oregon State University,17,1335,47117,21813,5269,8966,.466,.317,.729,35.3,16.3,3.9,6.7,145.5,.148,3.3,63.0
3,3,DEN,Mahmoud Abdul-Rauf,Louisiana State University,9,586,15628,8553,1087,2079,.442,.354,.905,26.7,14.6,1.9,3.5,25.2,.077,-2.2,-0.7
4,4,ORL,Dennis Scott,Georgia Institute of Technology,10,629,17983,8094,1774,1296,.417,.397,.793,28.6,12.9,2.8,2.1,33.4,.089,-0.4,7.3
5,5,CHH,Kendall Gill,University of Illinois at Urbana-Champaign,15,966,29481,12914,4002,2945,.434,.300,.754,30.5,13.4,4.1,3.0,47.8,.078,0.3,16.9
6,6,MIN,Felton Spencer,University of Louisville,12,640,12298,3354,3436,213,.484,.000,.658,19.2,5.2,5.4,0.3,20.9,.081,-2.6,-1.9
7,7,SAC,Lionel Simmons,La Salle University,7,454,13472,5833,2833,1498,.433,.305,.771,29.7,12.8,6.2,3.3,16.9,.060,0.1,7.2
8,8,LAC,Bo Kimble,Loyola Marymount University,3,105,1336,574,162,98,.386,.291,.728,12.7,5.5,1.5,0.9,0.1,.004,-5.2,-1.1
9,9,MIA,Willie Burton,University of Minnesota,8,316,6666,3243,932,393,.424,.345,.786,21.1,10.3,2.9,1.2,9.1,.065,-2.8,-1.4
10,10,ATL,Rumeal Robinson,University of Michigan,6,336,6098,2546,606,1179,.432,.344,.611,18.1,7.6,1.8,3.5,5.2,.041,-2.2,-0.3
11,11,GSW,Tyrone Hill,Xavier University,14,801,22388,7532,6854,647,.502,.000,.643,28.0,9.4,8.6,0.8,56.2,.120,-1.0,5.7
12,12,HOU,Alec Kessler,University of Georgia,4,210,2937,1084,751,81,.426,.417,.744,14.0,5.2,3.6,0.4,2.0,.033,-6.3,-3.2
13,13,LAC,Loy Vaught,University of Michigan,11,689,16993,6984,4881,652,.504,.244,.718,24.7,10.1,7.1,0.9,35.8,.101,-1.6,1.8
