ranker,pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp
42,42,POR,Derrick Byars,Vanderbilt University,1,2,37,10,11,1,.273,.000,1.000,18.5,5.0,5.5,0.5,0.1,.147,0.6,0.0
43,43,NOK,Adam Haluska,University of Iowa,,,,,,,,,,,,,,,,,
44,44,ORL,Reyshawn Terry,University of North Carolina,,,,,,,,,,,,,,,,,
45,45,LAC,Jared Jordan,Marist College,,,,,,,,,,,,,,,,,
46,46,GSW,Stephane Lasme,University of Massachusetts Amherst,1,16,303,83,53,3,.451,,.594,18.9,5.2,3.3,0.2,0.3,.041,-2.8,-0.1
47,47,WAS,Dominic McGuire,"California State University, Fresno",6,342,5348,939,1169,422,.419,.188,.658,15.6,2.7,3.4,1.2,4.1,.037,-1.6,0.6
48,48,LAL,Marc Gasol,,8,557,18790,7919,4364,1702,.503,.182,.764,33.7,14.2,7.8,3.1,61.0,.156,3.7,26.9
49,49,CHI,Aaron Gray,University of Pittsburgh,7,318,3851,1066,1190,207,.509,.000,.562,12.1,3.4,3.7,0.7,6.2,.077,-1.8,0.2
50,50,DAL,Renaldas Seibutis,,,,,,,,,,,,,,,,,,
51,51,CHI,JamesOn Curry,Oklahoma State University,1,1,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0
52,52,POR,Taurean Green,University of Florida,1,17,74,27,10,11,.280,.182,.917,4.4,1.6,0.6,0.6,-0.1,-.066,-8.2,-0.1
53,53,POR,Demetris Nichols,Syracuse University,2,18,58,22,7,2,.281,.200,.500,3.2,1.2,0.4,0.1,-0.2,-.203,-15.3,-0.2
54,54,HOU,Brad Newley,,,,,,,,,,,,,,,,,,
55,55,UTA,Herbert Hill,Providence College,,,,,,,,,,,,,,,,,
56,56,MIL,Ramon Sessions,"University of Nevada, Reno",9,568,14033,6261,1619,2469,.436,.313,.795,24.7,11.0,2.9,4.3,25.8,.088,-1.6,1.4
57,57,DET,Sammy Mejia,DePaul University,,,,,,,,,,,,,,,,,
58,58,SAS,Giorgos Printezis,,,,,,,,,,,,,,,,,,
59,59,PHO,D.J. Strawberry,University of Maryland,1,33,270,73,28,30,.315,.240,.474,8.2,2.2,0.8,0.9,-0.2,-.031,-5.1,-0.2
60,60,DAL,Milovan Rakovic,,,,,,,,,,,,,,,,,,
