ranker,pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp
1,1,DAL,Mark Aguirre,DePaul University,13,923,27730,18458,4578,2871,.484,.312,.741,30.0,20.0,5.0,3.1,67.8,.117,1.3,22.7
2,2,DET,Isiah Thomas,Indiana University,13,979,35516,18822,3478,9061,.452,.290,.759,36.3,19.2,3.6,9.3,80.7,.109,2.2,37.5
3,3,NJN,Buck Williams,University of Maryland,17,1307,42464,16784,13017,1646,.549,.167,.664,32.5,12.8,10.0,1.3,120.1,.136,1.2,34.8
4,4,ATL,Al Wood,University of North Carolina,6,417,9939,4902,1262,742,.465,.211,.789,23.8,11.8,3.0,1.8,15.4,.074,-1.8,0.5
5,5,SEA,Danny Vranes,University of Utah,7,510,10624,2613,1998,594,.496,.105,.570,20.8,5.1,3.9,1.2,15.3,.069,-0.4,4.4
6,6,CHI,Orlando Woolridge,University of Notre Dame,13,851,24041,13623,3696,1609,.513,.091,.737,28.3,16.0,4.3,1.9,53.0,.106,-0.4,9.8
7,7,KCK,Steve Johnson,Oregon State University,10,626,13618,7345,3450,777,.572,.000,.634,21.8,11.7,5.5,1.2,26.9,.095,-0.7,4.5
8,8,SDC,Tom Chambers,University of Utah,16,1107,33922,20049,6703,2283,.468,.307,.807,30.6,18.1,6.1,2.1,79.0,.112,-0.5,13.2
9,9,DAL,Rolando Blackman,Kansas State University,13,980,32087,17623,3278,2981,.493,.343,.840,32.7,18.0,3.3,3.0,75.6,.113,-0.1,15.3
10,10,NJN,Albert King,University of Maryland,9,534,12836,6470,2262,1171,.461,.268,.791,24.0,12.1,4.2,2.2,16.3,.061,-1.5,1.8
11,11,WSB,Frank Johnson,Wake Forest University,10,596,12897,4937,1025,2476,.439,.218,.760,21.6,8.3,1.7,4.2,17.2,.064,-2.2,-0.8
12,12,DET,Kelly Tripucka,University of Notre Dame,10,707,20959,12142,2703,2090,.473,.361,.849,29.6,17.2,3.8,3.0,44.4,.102,0.1,11.3
13,13,UTA,Danny Schayes,Syracuse University,18,1138,21975,8780,5671,1299,.481,.133,.806,19.3,7.7,5.0,1.1,48.8,.107,-1.2,4.6
