ranker,pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp
1,1,SAS,Tim Duncan,Wake Forest University,19,1365,46717,26287,14909,4165,.506,.180,.697,34.2,19.3,10.9,3.1,204.8,.210,5.5,88.6
2,2,PHI,Keith Van Horn,University of Utah,9,575,18150,9206,3909,900,.443,.361,.835,31.6,16.0,6.8,1.6,41.7,.110,-0.2,8.4
3,3,BOS,Chauncey Billups,University of Colorado,17,1043,33008,15802,2992,5636,.415,.387,.894,31.6,15.2,2.9,5.4,120.8,.176,2.5,37.6
4,4,VAN,Antonio Daniels,Bowling Green State University,13,872,19671,6623,1613,2934,.444,.311,.793,22.6,7.6,1.8,3.4,47.0,.115,-1.2,4.1
5,5,DEN,Tony Battie,Texas Tech University,14,837,17649,5082,4287,522,.488,.162,.690,21.1,6.1,5.1,0.6,36.4,.099,-1.6,1.9
6,6,BOS,Ron Mercer,University of Kentucky,8,432,13418,5892,1342,921,.429,.250,.808,31.1,13.6,3.1,2.1,9.4,.034,-3.3,-4.3
7,7,NJN,Tim Thomas,Villanova University,13,824,21336,9454,3379,1272,.437,.369,.758,25.9,11.5,4.1,1.5,35.2,.079,-1.0,5.4
8,8,GSW,Adonal Foyle,Colgate University,12,733,13060,2989,3461,344,.477,.000,.499,17.8,4.1,4.7,0.5,18.7,.069,-0.8,3.9
9,9,TOR,Tracy McGrady,,15,938,30658,18381,5276,4161,.435,.338,.746,32.7,19.6,5.6,4.4,97.3,.152,4.6,50.6
10,10,MIL,Danny Fortson,University of Cincinnati,10,440,8832,3615,3184,301,.472,.167,.785,20.1,8.2,7.2,0.7,22.3,.121,-3.0,-2.1
11,11,SAC,Tariq Abdul-Wahad,San Jose State University,6,236,4807,1830,776,266,.417,.237,.703,20.4,7.8,3.3,1.1,3.5,.035,-3.2,-1.5
