ranker,pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp
1,1,SAS,David Robinson,United States Naval Academy,14,987,34271,20790,10497,2441,.518,.250,.736,34.7,21.1,10.6,2.5,178.7,.250,7.4,80.9
2,2,PHO,Armen Gilliam,"University of Nevada, Las Vegas",13,929,26421,12700,6401,1088,.489,.000,.776,28.4,13.7,6.9,1.2,58.1,.106,-1.1,6.2
3,3,NJN,Dennis Hopson,Ohio State University,5,334,7509,3633,939,539,.431,.271,.765,22.5,10.9,2.8,1.6,7.1,.046,-2.1,-0.3
4,4,LAC,Reggie Williams,Georgetown University,10,599,16013,7508,2393,1492,.437,.298,.784,26.7,12.5,4.0,2.5,26.0,.078,0.5,10.3
5,5,SEA,Scottie Pippen,University of Central Arkansas,17,1178,41069,18940,7494,6135,.473,.326,.704,34.9,16.1,6.4,5.2,125.1,.146,4.7,69.6
6,6,SAC,Kenny Smith,University of North Carolina,10,737,22213,9397,1454,4073,.480,.399,.829,30.1,12.8,2.0,5.5,46.8,.101,-1.2,4.3
7,7,CLE,Kevin Johnson,University of California,12,735,25061,13127,2404,6711,.493,.305,.841,34.1,17.9,3.3,9.1,92.8,.178,2.4,28.0
8,8,CHI,Olden Polynice,University of Virginia,15,1058,24884,8265,7110,744,.505,.192,.535,23.5,7.8,6.7,0.7,46.8,.090,-1.6,2.7
9,9,SEA,Derrick McKey,University of Alabama,15,937,27229,10266,4387,2254,.486,.316,.779,29.1,11.0,4.7,2.4,61.8,.109,2.0,27.3
10,10,CHI,Horace Grant,Clemson University,17,1165,38621,12996,9443,2575,.509,.063,.692,33.2,11.2,8.1,2.2,118.2,.147,2.6,44.4
11,11,IND,Reggie Miller,"University of California, Los Angeles",18,1389,47619,25279,4182,4141,.471,.395,.888,34.3,18.2,3.0,3.0,174.4,.176,3.3,63.2
12,12,WSB,Muggsy Bogues,Wake Forest University,14,889,25429,6858,2318,6726,.458,.278,.827,28.6,7.7,2.6,7.6,54.0,.102,-1.2,5.2
13,13,LAC,Joe Wolf,University of North Carolina,11,592,9636,2485,1933,596,.423,.164,.770,16.3,4.2,3.3,1.0,3.5,.017,-4.1,-5.2
14,14,GSW,Tellis Frank,Western Kentucky University,5,264,4703,1710,1022,276,.439,.000,.741,17.8,6.5,3.9,1.0,4.0,.041,-3.0,-1.2
15,15,UTA,Jose Ortiz,Oregon State University,2,64,391,183,73,18,.443,.333,.596,6.1,2.9,1.1,0.3,0.0,.002,-5.4,-0.3
16,16,PHI,Chris Welp,University of Washington,3,109,1173,359,265,43,.446,.000,.681,10.8,3.3,2.4,0.4,1.0,.042,-3.5,-0.4
17,17,POR,Ronnie Murphy,Jacksonville University,1,18,89,36,11,6,.286,.250,.636,4.9,2.0,0.6,0.3,-0.2,-.130,-10.7,-0.2
18,18,NYK,Mark Jackson,St. John's University,17,1296,39121,12489,4963,10334,.447,.332,.770,30.2,9.6,3.8,8.0,91.8,.113,0.8,27.1
