ranker,pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp
1,1,CLE,LeBron James,,13,946,37024,25817,6762,6513,.496,.340,.744,39.1,27.3,7.1,6.9,185.1,.240,9.2,104.4
2,2,DET,Darko Milicic,,10,468,8638,2813,1971,405,.460,.000,.574,18.5,6.0,4.2,0.9,7.1,.040,-1.6,0.8
3,3,DEN,Carmelo Anthony,Syracuse University,13,868,31571,21744,5727,2690,.454,.344,.812,36.4,25.1,6.6,3.1,89.9,.137,1.4,27.3
4,4,TOR,Chris Bosh,Georgia Institute of Technology,13,879,31470,16915,7517,1763,.494,.337,.799,35.8,19.2,8.6,2.0,105.2,.160,1.5,27.5
5,5,MIA,Dwyane Wade,Marquette University,13,819,29449,19513,3982,4775,.489,.288,.766,36.0,23.8,4.9,5.8,111.7,.182,5.5,55.8
6,6,LAC,Chris Kaman,Central Michigan University,13,724,19585,8180,5567,914,.489,.000,.742,27.1,11.3,7.7,1.3,24.4,.060,-2.0,0.0
7,7,CHI,Kirk Hinrich,University of Kansas,13,859,26785,9559,2541,4215,.412,.376,.799,31.2,11.1,3.0,4.9,52.5,.094,0.2,15.0
8,8,MIL,T.J. Ford,University of Texas at Austin,8,429,11882,4797,1331,2495,.433,.289,.815,27.7,11.2,3.1,5.8,16.9,.068,-0.8,3.6
9,9,NYK,Mike Sweetney,Georgetown University,4,233,3610,1516,1045,145,.485,.000,.689,15.5,6.5,4.5,0.6,7.8,.103,-2.1,-0.1
10,10,WAS,Jarvis Hayes,University of Georgia,7,427,9898,3553,1330,459,.415,.356,.798,23.2,8.3,3.1,1.1,10.2,.049,-2.9,-2.2
11,11,GSW,Mickael Pietrus,,10,557,11950,4629,1723,445,.425,.355,.665,21.5,8.3,3.1,0.8,19.7,.079,-0.9,3.4
12,12,SEA,Nick Collison,University of Kansas,12,851,18140,5244,4580,900,.532,.210,.728,21.3,6.2,5.4,1.1,43.7,.116,0.5,11.3
13,13,MEM,Marcus Banks,"University of Nevada, Las Vegas",8,348,5571,2061,519,728,.432,.327,.768,16.0,5.9,1.5,2.1,6.6,.057,-2.4,-0.6
14,14,SEA,Luke Ridnour,University of Oregon,12,830,21623,7740,1877,3713,.431,.349,.862,26.1,9.3,2.3,4.5,36.0,.080,-0.9,5.8
15,15,ORL,Reece Gaines,University of Louisville,3,71,605,123,53,50,.324,.269,.606,8.5,1.7,0.7,0.7,-0.6,-.049,-7.7,-0.9
16,16,BOS,Troy Bell,Boston College,1,6,34,11,4,4,.222,.000,1.000,5.7,1.8,0.7,0.7,-0.2,-.326,-14.4,-0.1
17,17,PHO,Zarko Cabarkapa,,3,150,1550,640,312,85,.427,.273,.733,10.3,4.3,2.1,0.6,1.1,.035,-5.2,-1.3
18,18,NOH,David West,Xavier University,13,854,26529,12917,5992,1907,.491,.251,.819,31.1,15.1,7.0,2.2,77.0,.139,1.4,22.6
19,19,UTA,Sasha Pavlovic,,10,567,8888,2787,1000,517,.404,.346,.673,15.7,4.9,1.8,0.9,7.0,.038,-3.4,-3.2
20,20,BOS,Dahntay Jones,Duke University,11,622,9745,3331,1075,526,.439,.330,.751,15.7,5.4,1.7,0.8,9.8,.048,-3.7,-4.1
21,21,ATL,Boris Diaw,,13,955,26873,8604,4377,3438,.495,.342,.715,28.1,9.0,4.6,3.6,49.4,.088,0.9,19.5
22,22,NJN,Zoran Planinic,,3,148,1584,561,198,165,.405,.289,.677,10.7,3.8,1.3,1.1,1.5,.046,-4.2,-0.9
23,23,POR,Travis Outlaw,,11,622,13026,5273,1974,514,.423,.337,.744,20.9,8.5,3.2,0.8,16.5,.061,-2.3,-0.9
24,24,LAL,Brian Cook,University of Illinois at Urbana-Champaign,9,421,5649,2312,1115,252,.439,.382,.783,13.4,5.5,2.6,0.6,10.2,.086,-2.4,-0.6
25,25,DET,Carlos Delfino,,8,507,11580,4115,1815,887,.401,.365,.758,22.8,8.1,3.6,1.7,22.5,.093,0.8,8.1
26,26,MIN,Ndudi Ebi,,2,19,86,40,19,4,.486,.000,.462,4.5,2.1,1.0,0.2,0.1,.051,-5.4,-0.1
27,27,MEM,Kendrick Perkins,,13,753,16688,4147,4422,785,.531,.000,.596,22.2,5.5,5.9,1.0,28.1,.081,-0.3,7.3
28,28,SAS,Leandro Barbosa,,13,741,16708,8338,1536,1649,.460,.390,.818,22.5,11.3,2.1,2.2,35.3,.101,-0.1,7.9
29,29,DAL,Josh Howard,Wake Forest University,10,507,15350,7270,2886,817,.448,.332,.770,30.3,14.3,5.7,1.6,38.0,.119,0.6,10.3
30,30,NYK,Maciej Lampe,,3,64,632,215,142,22,.407,.250,.676,9.9,3.4,2.2,0.3,-0.2,-.014,-8.7,-1.1
31,31,CLE,Jason Kapono,"University of California, Los Angeles",9,509,9068,3398,844,417,.442,.434,.835,17.8,6.7,1.7,0.8,10.3,.055,-3.0,-2.3
32,32,LAL,Luke Walton,University of Arizona,10,564,9685,2649,1588,1317,.429,.326,.715,17.2,4.7,2.8,2.3,13.5,.067,-1.2,1.9
33,33,MIA,Jerome Beasley,University of North Dakota,1,2,5,2,1,0,.333,,,2.5,1.0,0.5,0.0,0.0,-.117,-22.4,0.0
34,34,LAC,Sofoklis Schortsanitis,,,,,,,,,,,,,,,,,,
35,35,MIL,Szymon Szewczyk,,,,,,,,,,,,,,,,,,
36,36,CHI,Mario Austin,Mississippi State University,,,,,,,,,,,,,,,,,
37,37,ATL,Travis Hansen,Brigham Young University,1,41,507,123,70,19,.354,.300,.815,12.4,3.0,1.7,0.5,0.2,.019,-5.0,-0.4
38,38,WAS,Steve Blake,University of Maryland,13,840,20280,5528,1770,3332,.401,.384,.777,24.1,6.6,2.1,4.0,28.5,.068,-1.7,1.6
39,39,NYK,Slavko Vranes,,1,1,3,0,0,0,.000,,,3.0,0.0,0.0,0.0,0.0,-.371,-21.4,0.0
40,40,GSW,Derrick Zimmerman,Mississippi State University,1,2,32,4,4,7,.667,,,16.0,2.0,2.0,3.5,0.0,.004,-9.7,-0.1
41,41,SEA,Willie Green,University of Detroit Mercy,12,731,14783,6059,1303,1018,.425,.346,.765,20.2,8.3,1.8,1.4,12.9,.042,-3.6,-5.9
42,42,ORL,Zaza Pachulia,,13,853,18224,6109,5014,1041,.462,.000,.747,21.4,7.2,5.9,1.2,40.5,.107,-0.6,6.6
43,43,MIL,Keith Bogans,University of Kentucky,11,671,14527,4257,1817,866,.394,.353,.716,21.6,6.3,2.7,1.3,20.4,.068,-0.8,4.5
44,44,HOU,Malick Badiane,,,,,,,,,,,,,,,,,,
